epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
174,22314.7,0.33209,0.44259,0.21591,0.85242,0.79421,0.8154,0.47151,0.19829,0.27426,0.19928,1.4365e-05,1.4365e-05,1.4365e-05
175,23319.6,0.32554,0.4418,0.20657,0.85103,0.791,0.81797,0.47281,0.19873,0.27224,0.2,1.387e-05,1.387e-05,1.387e-05
176,24325.2,0.32415,0.45341,0.20051,0.8529,0.78992,0.8175,0.47228,0.1985,0.27285,0.19902,1.3375e-05,1.3375e-05,1.3375e-05
177,25335.1,0.33117,0.44681,0.21053,0.84237,0.79617,0.81931,0.47168,0.19869,0.27248,0.19883,1.288e-05,1.288e-05,1.288e-05
178,26340.5,0.32492,0.43769,0.20509,0.84152,0.79677,0.81813,0.47186,0.19835,0.27313,0.19826,1.2385e-05,1.2385e-05,1.2385e-05
179,27347.9,0.33332,0.44354,0.21114,0.84215,0.80279,0.81717,0.47078,0.19844,0.27306,0.19873,1.189e-05,1.189e-05,1.189e-05
180,28357.8,0.32384,0.44821,0.20331,0.84508,0.79513,0.81803,0.47102,0.19853,0.27272,0.19781,1.1395e-05,1.1395e-05,1.1395e-05
181,29366.4,0.32654,0.44777,0.20372,0.84121,0.7985,0.82008,0.47176,0.1989,0.27088,0.19856,1.09e-05,1.09e-05,1.09e-05
182,30376.1,0.3314,0.44774,0.20754,0.84606,0.79636,0.8201,0.47156,0.19933,0.27025,0.1991,1.0405e-05,1.0405e-05,1.0405e-05
183,31382.9,0.32831,0.44798,0.21052,0.85107,0.79528,0.8173,0.46935,0.19914,0.26969,0.19928,9.91e-06,9.91e-06,9.91e-06
184,32390,0.32713,0.44567,0.20233,0.85332,0.79314,0.81566,0.46951,0.19878,0.27001,0.19743,9.415e-06,9.415e-06,9.415e-06
185,33394.4,0.31182,0.43426,0.19617,0.86343,0.7928,0.81793,0.46989,0.19876,0.26992,0.19799,8.92e-06,8.92e-06,8.92e-06
186,34400.9,0.31995,0.43783,0.20237,0.8554,0.79421,0.81787,0.46974,0.19949,0.26734,0.19811,8.425e-06,8.425e-06,8.425e-06
187,35407.2,0.31993,0.44053,0.19912,0.85617,0.79116,0.81376,0.46785,0.19949,0.26765,0.19889,7.93e-06,7.93e-06,7.93e-06
188,36413.3,0.32823,0.44452,0.20097,0.85807,0.79056,0.81353,0.46797,0.19865,0.26951,0.19843,7.435e-06,7.435e-06,7.435e-06
189,37420.5,0.32288,0.44548,0.1978,0.85104,0.78992,0.81412,0.46911,0.19791,0.27015,0.19645,6.94e-06,6.94e-06,6.94e-06
190,38427,0.32302,0.43809,0.19913,0.85068,0.79379,0.81792,0.47029,0.20041,0.26567,0.20008,6.445e-06,6.445e-06,6.445e-06
191,39383.3,0.26669,0.31393,0.17252,0.84832,0.79727,0.8144,0.4674,0.1996,0.26829,0.19838,5.95e-06,5.95e-06,5.95e-06
192,40343.7,0.2715,0.31465,0.1762,0.8483,0.78885,0.80879,0.46383,0.20045,0.26538,0.20036,5.455e-06,5.455e-06,5.455e-06
193,41303.2,0.26766,0.31637,0.17233,0.84465,0.79256,0.81436,0.46755,0.19968,0.26613,0.19931,4.96e-06,4.96e-06,4.96e-06
194,42264.1,0.27106,0.31764,0.17167,0.85031,0.78885,0.81386,0.46799,0.20002,0.26398,0.20041,4.465e-06,4.465e-06,4.465e-06
195,43223.2,0.265,0.30809,0.17079,0.84214,0.79421,0.81443,0.46737,0.19964,0.26457,0.19897,3.97e-06,3.97e-06,3.97e-06
196,44181.5,0.2639,0.30781,0.16576,0.84998,0.78778,0.81687,0.46803,0.19896,0.26652,0.19847,3.475e-06,3.475e-06,3.475e-06
197,45138.3,0.25971,0.30791,0.16715,0.84169,0.78885,0.81524,0.46875,0.19909,0.26552,0.19865,2.98e-06,2.98e-06,2.98e-06
198,46098.2,0.26142,0.30483,0.16708,0.84604,0.78457,0.81479,0.46919,0.19945,0.26469,0.19883,2.485e-06,2.485e-06,2.485e-06
199,47059,0.26338,0.30901,0.17038,0.84254,0.78028,0.80951,0.46552,0.19936,0.26412,0.19869,1.99e-06,1.99e-06,1.99e-06
200,48016.7,0.26087,0.30205,0.16635,0.84283,0.77921,0.81011,0.46578,0.19933,0.26353,0.19951,1.495e-06,1.495e-06,1.495e-06
