epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
40,38438.4,0.4315,0.75217,0.28261,0.78707,0.71811,0.74389,0.41169,0.19418,0.40509,0.17672,8.0695e-05,8.0695e-05,8.0695e-05
41,39400.1,0.43271,0.75908,0.27788,0.81602,0.70525,0.74066,0.41923,0.19228,0.40272,0.18022,8.02e-05,8.02e-05,8.02e-05
42,40359.4,0.44017,0.73277,0.28833,0.78873,0.72347,0.75108,0.4177,0.19403,0.43344,0.18248,7.9705e-05,7.9705e-05,7.9705e-05
43,41317.6,0.44241,0.74827,0.2921,0.77842,0.74177,0.77124,0.42896,0.19567,0.40627,0.18325,7.921e-05,7.921e-05,7.921e-05
44,42274.4,0.42867,0.74556,0.28202,0.79989,0.72562,0.76194,0.42952,0.19508,0.38306,0.17633,7.8715e-05,7.8715e-05,7.8715e-05
45,43235.9,0.43211,0.72461,0.28083,0.77434,0.73312,0.76403,0.42808,0.19123,0.39036,0.17674,7.822e-05,7.822e-05,7.822e-05
46,44195.8,0.43789,0.72161,0.28438,0.8112,0.71842,0.77288,0.42926,0.19379,0.40273,0.17671,7.7725e-05,7.7725e-05,7.7725e-05
47,45156.5,0.42502,0.71328,0.2808,0.80469,0.7419,0.78319,0.43249,0.19227,0.39754,0.17616,7.723e-05,7.723e-05,7.723e-05
48,46119.9,0.42349,0.71286,0.28085,0.79466,0.74661,0.77471,0.42951,0.19258,0.38899,0.17954,7.6735e-05,7.6735e-05,7.6735e-05
49,47077.5,0.43176,0.68299,0.27886,0.81324,0.72883,0.78106,0.43603,0.19193,0.38699,0.17675,7.624e-05,7.624e-05,7.624e-05
50,48041.5,0.42261,0.72422,0.27659,0.81903,0.75348,0.78639,0.44011,0.19369,0.37331,0.18211,7.5745e-05,7.5745e-05,7.5745e-05
51,48983.5,0.43137,0.68342,0.2778,0.80564,0.76742,0.78705,0.44046,0.19446,0.37565,0.18274,7.525e-05,7.525e-05,7.525e-05
52,49925,0.42512,0.69159,0.28058,0.81075,0.7668,0.78044,0.43905,0.19401,0.37504,0.1829,7.4755e-05,7.4755e-05,7.4755e-05
53,50868.2,0.42159,0.68318,0.27826,0.82197,0.75715,0.77868,0.42961,0.19504,0.37007,0.1828,7.426e-05,7.426e-05,7.426e-05
54,51829.9,0.41442,0.68922,0.28243,0.82108,0.75777,0.79938,0.44383,0.1941,0.38257,0.18311,7.3765e-05,7.3765e-05,7.3765e-05
55,52769.6,0.414,0.67923,0.27128,0.84151,0.76742,0.80303,0.44455,0.19366,0.37293,0.1794,7.327e-05,7.327e-05,7.327e-05
56,53719.6,0.42381,0.66806,0.27719,0.82551,0.76566,0.79518,0.44239,0.19124,0.35983,0.17808,7.2775e-05,7.2775e-05,7.2775e-05
57,54670.4,0.42453,0.66318,0.27751,0.82442,0.76527,0.79564,0.4439,0.19495,0.3586,0.18209,7.228e-05,7.228e-05,7.228e-05
58,55610.7,0.41018,0.66984,0.26248,0.81336,0.76635,0.79101,0.43792,0.19291,0.37679,0.18226,7.1785e-05,7.1785e-05,7.1785e-05
59,56551.1,0.41537,0.65451,0.27464,0.8213,0.75991,0.77963,0.4354,0.19231,0.37111,0.18288,7.129e-05,7.129e-05,7.129e-05
60,57492.5,0.41492,0.64485,0.2704,0.82464,0.75563,0.78961,0.44557,0.19007,0.35641,0.18251,7.0795e-05,7.0795e-05,7.0795e-05
61,58431.9,0.41302,0.63934,0.26906,0.80679,0.76978,0.78719,0.44436,0.19266,0.34947,0.18599,7.03e-05,7.03e-05,7.03e-05
62,59370.3,0.41112,0.6397,0.27641,0.81593,0.74812,0.77503,0.43915,0.19223,0.34874,0.18626,6.9805e-05,6.9805e-05,6.9805e-05
63,60310.7,0.40811,0.6368,0.27038,0.81949,0.77367,0.8009,0.45534,0.19125,0.32534,0.18608,6.931e-05,6.931e-05,6.931e-05
64,61250.6,0.41284,0.62936,0.26789,0.8307,0.77599,0.80612,0.4566,0.19243,0.32143,0.18594,6.8815e-05,6.8815e-05,6.8815e-05
65,62193.5,0.41418,0.64617,0.27427,0.818,0.76313,0.79813,0.45511,0.1924,0.33341,0.18562,6.832e-05,6.832e-05,6.832e-05
66,63136.7,0.40431,0.63459,0.26919,0.83579,0.75282,0.79967,0.45458,0.19212,0.34016,0.18589,6.7825e-05,6.7825e-05,6.7825e-05
67,64083.1,0.4017,0.62209,0.26521,0.81211,0.78135,0.79298,0.44867,0.19287,0.33453,0.18796,6.733e-05,6.733e-05,6.733e-05
68,65034.7,0.40472,0.60768,0.26418,0.84638,0.76767,0.80281,0.45746,0.1928,0.32933,0.19191,6.6835e-05,6.6835e-05,6.6835e-05
69,65977.9,0.40595,0.61306,0.27091,0.84595,0.76849,0.80272,0.45578,0.193,0.33841,0.19316,6.634e-05,6.634e-05,6.634e-05
70,66920.9,0.39733,0.60919,0.25846,0.84023,0.77921,0.80571,0.45355,0.1947,0.33312,0.19596,6.5845e-05,6.5845e-05,6.5845e-05
71,67863.7,0.40323,0.6111,0.26252,0.82898,0.78885,0.81022,0.45644,0.19418,0.32973,0.19499,6.535e-05,6.535e-05,6.535e-05
72,68806.8,0.40513,0.61598,0.26529,0.8226,0.79207,0.81364,0.45925,0.19341,0.33202,0.19332,6.4855e-05,6.4855e-05,6.4855e-05
73,69751.2,0.4066,0.60959,0.26335,0.84229,0.78349,0.81003,0.45924,0.19172,0.33184,0.192,6.436e-05,6.436e-05,6.436e-05
74,70696.2,0.39742,0.61685,0.27399,0.83006,0.77483,0.79529,0.45116,0.19342,0.34083,0.19368,6.3865e-05,6.3865e-05,6.3865e-05
75,71639.7,0.40223,0.6056,0.26932,0.80821,0.79043,0.79497,0.45483,0.19438,0.33737,0.19289,6.337e-05,6.337e-05,6.337e-05
76,72582.6,0.39648,0.58826,0.25756,0.80415,0.79957,0.80019,0.45427,0.1954,0.3398,0.196,6.2875e-05,6.2875e-05,6.2875e-05
77,73522.9,0.39119,0.56462,0.26704,0.83701,0.77814,0.80758,0.45694,0.19605,0.33198,0.19557,6.238e-05,6.238e-05,6.238e-05
78,74461.9,0.39969,0.59629,0.25949,0.82724,0.77814,0.80114,0.4556,0.19371,0.3369,0.19462,6.1885e-05,6.1885e-05,6.1885e-05
79,75403.8,0.39874,0.58347,0.26098,0.83558,0.78242,0.80989,0.45919,0.19485,0.33795,0.19484,6.139e-05,6.139e-05,6.139e-05
80,76341.7,0.39596,0.58544,0.26821,0.82506,0.78028,0.80255,0.45304,0.1934,0.34589,0.19334,6.0895e-05,6.0895e-05,6.0895e-05
81,77279.9,0.39511,0.57811,0.26197,0.82851,0.78778,0.80656,0.45416,0.19349,0.343,0.192,6.04e-05,6.04e-05,6.04e-05
82,78217.8,0.39414,0.58838,0.25855,0.83381,0.78564,0.81024,0.45791,0.19356,0.3392,0.19163,5.9905e-05,5.9905e-05,5.9905e-05
83,79158.1,0.38937,0.57075,0.25816,0.8331,0.78028,0.79961,0.45249,0.19367,0.33512,0.19211,5.941e-05,5.941e-05,5.941e-05
84,80095,0.39003,0.55341,0.25274,0.82757,0.77675,0.79855,0.45509,0.19486,0.33318,0.19298,5.8915e-05,5.8915e-05,5.8915e-05
85,81029.9,0.37938,0.57315,0.25334,0.81989,0.7709,0.79558,0.45587,0.19449,0.34169,0.1909,5.842e-05,5.842e-05,5.842e-05
86,81967.8,0.38825,0.57038,0.25944,0.82606,0.7717,0.80106,0.45755,0.19542,0.34016,0.19273,5.7925e-05,5.7925e-05,5.7925e-05
87,82905.1,0.39438,0.55017,0.26202,0.83046,0.777,0.80139,0.45855,0.1965,0.33942,0.19517,5.743e-05,5.743e-05,5.743e-05
88,83842.9,0.38617,0.57008,0.25474,0.81827,0.78671,0.80294,0.45949,0.19696,0.32959,0.19617,5.6935e-05,5.6935e-05,5.6935e-05
89,84780.6,0.38372,0.55777,0.25906,0.82609,0.78135,0.80587,0.45853,0.19738,0.33253,0.19796,5.644e-05,5.644e-05,5.644e-05
90,85719.2,0.3787,0.57057,0.24618,0.81271,0.78564,0.80209,0.4566,0.19776,0.3318,0.19798,5.5945e-05,5.5945e-05,5.5945e-05
91,86659.3,0.37927,0.56364,0.24947,0.82889,0.7788,0.8051,0.45805,0.19719,0.33097,0.19761,5.545e-05,5.545e-05,5.545e-05
92,87597.3,0.39311,0.54949,0.25619,0.81164,0.79899,0.80345,0.45887,0.19835,0.33465,0.20107,5.4955e-05,5.4955e-05,5.4955e-05
93,88534.8,0.37943,0.55576,0.25086,0.82521,0.79636,0.8071,0.45897,0.19628,0.34501,0.19634,5.446e-05,5.446e-05,5.446e-05
94,89472.4,0.37863,0.54039,0.24342,0.82617,0.79207,0.8052,0.45826,0.19784,0.33419,0.20002,5.3965e-05,5.3965e-05,5.3965e-05
95,90410.1,0.37817,0.5442,0.24838,0.82357,0.79636,0.80512,0.45919,0.197,0.33402,0.19806,5.347e-05,5.347e-05,5.347e-05
96,91344.1,0.36991,0.53054,0.24356,0.83182,0.79207,0.80246,0.45723,0.19856,0.33904,0.20229,5.2975e-05,5.2975e-05,5.2975e-05
97,92279.8,0.37429,0.53885,0.24678,0.83984,0.78028,0.80525,0.45784,0.19818,0.33159,0.20202,5.248e-05,5.248e-05,5.248e-05
98,93219.1,0.37474,0.5393,0.24837,0.84401,0.78457,0.80867,0.45664,0.19931,0.32986,0.2044,5.1985e-05,5.1985e-05,5.1985e-05
99,94156.9,0.37648,0.53644,0.25038,0.83484,0.80386,0.81001,0.45825,0.19996,0.33141,0.20399,5.149e-05,5.149e-05,5.149e-05
100,95095.2,0.38315,0.5406,0.25078,0.83543,0.79636,0.80905,0.45794,0.19828,0.33456,0.19837,5.0995e-05,5.0995e-05,5.0995e-05
101,96030.4,0.37318,0.53844,0.23996,0.83594,0.79743,0.80708,0.45797,0.20032,0.32426,0.2052,5.05e-05,5.05e-05,5.05e-05
102,96966.9,0.37683,0.52992,0.244,0.83524,0.79207,0.80909,0.45886,0.19973,0.32644,0.20386,5.0005e-05,5.0005e-05,5.0005e-05
103,97903.3,0.36268,0.52393,0.23925,0.84033,0.79314,0.80864,0.46057,0.20009,0.32131,0.20487,4.951e-05,4.951e-05,4.951e-05
104,98841.8,0.37579,0.52482,0.24402,0.84191,0.79338,0.81087,0.46102,0.19973,0.32111,0.20384,4.9015e-05,4.9015e-05,4.9015e-05
105,99777.8,0.36949,0.52835,0.23871,0.84448,0.78671,0.80785,0.45957,0.19941,0.321,0.20313,4.852e-05,4.852e-05,4.852e-05
106,100718,0.37158,0.53841,0.23499,0.83528,0.78992,0.80743,0.45848,0.19886,0.32271,0.20093,4.8025e-05,4.8025e-05,4.8025e-05
107,101655,0.36645,0.51606,0.23316,0.83827,0.78457,0.80776,0.45975,0.1993,0.31866,0.20371,4.753e-05,4.753e-05,4.753e-05
108,102591,0.35366,0.52897,0.23655,0.83914,0.78671,0.8068,0.46044,0.19835,0.31934,0.20079,4.7035e-05,4.7035e-05,4.7035e-05
109,103528,0.36512,0.51937,0.23793,0.8403,0.78028,0.8055,0.46061,0.19827,0.31594,0.20051,4.654e-05,4.654e-05,4.654e-05
110,104462,0.3589,0.52023,0.23069,0.83541,0.78671,0.8065,0.45967,0.19931,0.31403,0.20428,4.6045e-05,4.6045e-05,4.6045e-05
111,105398,0.36516,0.50542,0.23432,0.83228,0.78885,0.80651,0.45984,0.19882,0.32014,0.20177,4.555e-05,4.555e-05,4.555e-05
112,106335,0.36145,0.52171,0.23899,0.82845,0.79195,0.80565,0.46138,0.19796,0.3133,0.20047,4.5055e-05,4.5055e-05,4.5055e-05
113,107273,0.36136,0.50595,0.2331,0.83302,0.78992,0.80147,0.45924,0.19773,0.31531,0.20022,4.456e-05,4.456e-05,4.456e-05
114,108210,0.35563,0.50598,0.22954,0.83805,0.78992,0.80383,0.46042,0.19818,0.30843,0.20117,4.4065e-05,4.4065e-05,4.4065e-05
115,109148,0.3547,0.50379,0.23104,0.83592,0.791,0.8073,0.46304,0.19814,0.3038,0.20093,4.357e-05,4.357e-05,4.357e-05
116,110085,0.35864,0.50175,0.23713,0.83283,0.79563,0.81017,0.46414,0.19628,0.30665,0.19677,4.3075e-05,4.3075e-05,4.3075e-05
117,111022,0.35303,0.5086,0.22801,0.83941,0.78436,0.80717,0.46308,0.19591,0.30567,0.19522,4.258e-05,4.258e-05,4.258e-05
118,111958,0.36055,0.49137,0.22905,0.84199,0.78242,0.80422,0.46142,0.19859,0.29691,0.20348,4.2085e-05,4.2085e-05,4.2085e-05
119,112895,0.35543,0.50791,0.22585,0.84276,0.78778,0.80739,0.46325,0.19767,0.30233,0.20099,4.159e-05,4.159e-05,4.159e-05
120,113831,0.34833,0.50512,0.22879,0.83515,0.79314,0.8086,0.46536,0.19774,0.29658,0.20084,4.1095e-05,4.1095e-05,4.1095e-05
121,114769,0.35343,0.49707,0.23191,0.85561,0.78028,0.80947,0.46521,0.19583,0.29986,0.19457,4.06e-05,4.06e-05,4.06e-05
122,115750,0.34552,0.49691,0.22752,0.86198,0.78319,0.81063,0.46714,0.19765,0.29177,0.20088,4.0105e-05,4.0105e-05,4.0105e-05
123,116758,0.34795,0.49946,0.22774,0.85931,0.78349,0.8119,0.46729,0.1976,0.2882,0.20119,3.961e-05,3.961e-05,3.961e-05
124,117745,0.35189,0.49804,0.22471,0.85381,0.78349,0.81114,0.46754,0.19718,0.28714,0.20084,3.9115e-05,3.9115e-05,3.9115e-05
125,118736,0.34578,0.50314,0.22067,0.85051,0.78671,0.81011,0.46654,0.19758,0.28616,0.20113,3.862e-05,3.862e-05,3.862e-05
126,119725,0.34533,0.49815,0.22438,0.85703,0.78349,0.81052,0.46837,0.19777,0.28483,0.20195,3.8125e-05,3.8125e-05,3.8125e-05
127,120717,0.35567,0.4925,0.22537,0.84996,0.78778,0.81018,0.46943,0.19745,0.28351,0.2005,3.763e-05,3.763e-05,3.763e-05
128,121729,0.33957,0.48014,0.22086,0.85104,0.78671,0.81011,0.46855,0.19776,0.28252,0.20086,3.7135e-05,3.7135e-05,3.7135e-05
129,122739,0.3445,0.49725,0.21823,0.84923,0.78778,0.80718,0.46545,0.1978,0.28286,0.20109,3.664e-05,3.664e-05,3.664e-05
130,123748,0.34729,0.49796,0.22314,0.84916,0.78778,0.8082,0.46614,0.19777,0.28325,0.20151,3.6145e-05,3.6145e-05,3.6145e-05
131,124737,0.34418,0.48981,0.21421,0.84255,0.78885,0.80876,0.4667,0.1981,0.28112,0.20193,3.565e-05,3.565e-05,3.565e-05
132,125726,0.33935,0.48769,0.22235,0.85081,0.78242,0.80996,0.46866,0.19723,0.28045,0.19949,3.5155e-05,3.5155e-05,3.5155e-05
133,126714,0.33648,0.48545,0.21355,0.85285,0.78269,0.80941,0.46942,0.19766,0.27809,0.19953,3.466e-05,3.466e-05,3.466e-05
134,127703,0.33529,0.48939,0.21969,0.85174,0.78814,0.81327,0.46981,0.19819,0.276,0.20075,3.4165e-05,3.4165e-05,3.4165e-05
135,128692,0.33967,0.48239,0.22181,0.85739,0.78457,0.81401,0.47013,0.19831,0.27521,0.20065,3.367e-05,3.367e-05,3.367e-05
136,129787,0.34037,0.48454,0.22343,0.85055,0.78457,0.81159,0.46944,0.19856,0.27367,0.2009,3.3175e-05,3.3175e-05,3.3175e-05
137,130832,0.339,0.48136,0.2196,0.84798,0.78457,0.80762,0.46749,0.19849,0.27255,0.20159,3.268e-05,3.268e-05,3.268e-05
138,131901,0.33765,0.46413,0.21858,0.84006,0.79374,0.80902,0.46838,0.19821,0.27215,0.2007,3.2185e-05,3.2185e-05,3.2185e-05
139,132964,0.33538,0.47908,0.21479,0.84377,0.79304,0.8107,0.46897,0.19877,0.27193,0.20093,3.169e-05,3.169e-05,3.169e-05
140,133958,0.34208,0.47482,0.2149,0.84649,0.791,0.81368,0.46916,0.19878,0.27136,0.20148,3.1195e-05,3.1195e-05,3.1195e-05
141,134948,0.33477,0.46394,0.21374,0.84022,0.79471,0.81201,0.46895,0.20006,0.26875,0.20374,3.07e-05,3.07e-05,3.07e-05
142,135936,0.33814,0.46534,0.2174,0.84036,0.79555,0.81285,0.46931,0.19942,0.26878,0.20271,3.0205e-05,3.0205e-05,3.0205e-05
143,136926,0.33525,0.47327,0.21575,0.84219,0.79528,0.81069,0.46838,0.19971,0.26819,0.20445,2.971e-05,2.971e-05,2.971e-05
144,137913,0.33304,0.46993,0.21356,0.84008,0.79949,0.81064,0.46868,0.19969,0.26683,0.20464,2.9215e-05,2.9215e-05,2.9215e-05
